order,name,author
1,追风筝的人,[美] 卡勒德·胡赛尼 
2,解忧杂货店,[日] 东野圭吾 
3,小王子,[法] 圣埃克苏佩里 
4,白夜行,[日] 东野圭吾 
5,围城,钱锺书 
6,三体,刘慈欣 
7,嫌疑人X的献身,[日] 东野圭吾 
8,活着,余华 
9,挪威的森林,[日] 村上春树 
10,百年孤独,[哥伦比亚] 加西亚·马尔克斯 
11,红楼梦,[清] 曹雪芹 著 
12,看见,柴静 
13,平凡的世界（全三部）,路遥 
14,三体Ⅱ,刘慈欣 
15,三体Ⅲ,刘慈欣 
16,不能承受的生命之轻,[捷克] 米兰·昆德拉 
17,达·芬奇密码,[美] 丹·布朗 
18,我们仨,杨绛 
19,天才在左 疯子在右,高铭 
20,简爱（英文全本）,[英] 夏洛蒂·勃朗特 
21,哈利·波特与魔法石,[英] J. K. 罗琳 
22,明朝那些事儿（壹）,当年明月 
23,傲慢与偏见,[英] 奥斯丁 
24,目送,龙应台 
25,恶意,[日] 东野圭吾 
26,撒哈拉的故事,三毛 
27,霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯 
28,许三观卖血记,余华 
29,飘,[美国] 玛格丽特·米切尔 
30,边城,沈从文 
31,倾城之恋,花城出版社 
32,送你一颗子弹,刘瑜 
33,狼图腾,姜戎 
34,哈利·波特与阿兹卡班的囚徒,[英] J. K. 罗琳 
35,盗墓笔记,南派三叔 
36,哈利·波特与火焰杯,[英] J. K. 罗琳 
37,情人,[法] 玛格丽特·杜拉斯 
38,人间失格,太宰治 
39,哈利·波特与密室,[英] J. K. 罗琳 
40,万历十五年,[美] 黄仁宇 
41,穆斯林的葬礼,霍达 
42,窗边的小豆豆,[日] 黑柳彻子 著 
43,老人与海,海明威 
44,1984,[英] 乔治·奥威尔 
45,1Q84 BOOK 1,[日] 村上春树 
46,黄金时代,王小波 
47,哈利·波特与混血王子,[英] J. K. 罗琳 
48,人类简史,[以色列] 尤瓦尔·赫拉利 
49,三国演义（全二册）,[明] 罗贯中 
50,向左走·向右走,幾米 
51,哈利·波特与凤凰社,[英] J. K. 罗琳 
52,悟空传,今何在 
53,牧羊少年奇幻之旅,[巴西]保罗·柯艾略 
54,房思琪的初恋乐园,林奕含 
55,苏菲的世界,（挪威）乔斯坦·贾德 
56,鲁滨逊漂流记,[英] 笛福 
57,天龙八部,金庸 
58,哈利·波特与死亡圣器,[英] J. K. 罗琳 
59,莲花,安妮宝贝 
60,无声告白,[美] 伍绮诗 
61,呼啸山庄,（英）勃朗特 
62,亲爱的安德烈,龙应台 
63,基督山伯爵,大仲马 
64,骆驼祥子,老舍 
65,白鹿原,陈忠实 
66,局外人,[法] 阿尔贝·加缪 
67,灿烂千阳,[美] 卡勒德·胡赛尼 
68,茶花女,小仲马 
69,一个陌生女人的来信,[奥] 斯台芬·茨威格 
70,海边的卡夫卡,[日] 村上春树 
71,笑傲江湖（全四册）,金庸 
72,福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔 
73,沉默的大多数,王小波 
74,兄弟（上）,余华 
75,少有人走的路,[美] M·斯科特·派克 
76,了不起的盖茨比,菲茨杰拉德 
77,东方快车谋杀案,[英] 阿加莎·克里斯蒂 
78,情书,[日] 岩井俊二 
79,无人生还,[英] 阿加莎・克里斯蒂 
80,月亮与六便士,[英] 威廉·萨默塞特·毛姆 
81,神雕侠侣,金庸 
82,巴黎圣母院,[法]雨果 
83,肖申克的救赎,[美] 斯蒂芬·金 
84,民主的细节,刘瑜 
85,羊脂球,（法）莫泊桑 
86,呐喊,鲁迅 
87,乌合之众,（法）勒庞 
88,遇见未知的自己,张德芬 
89,动物农场,[英] 乔治·奥威尔 
90,爱你就像爱生命,王小波 
91,当我谈跑步时我谈些什么,[日] 村上春树 
92,安徒生童话故事集,（丹麦）安徒生 
93,红玫瑰与白玫瑰,张爱玲 
94,巨人的陨落,[英] 肯·福莱特 
95,鬼吹灯之精绝古城,天下霸唱 
96,城南旧事,林海音 文 
